Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1405_10.png,CLAHE (LAB),7.2402,59.0718,18.9075,52.5793,172.5805,12.595,0.7629,6.94
1405_10.png,"MSRCR (σ=[15,80,250])",7.136,85.4929,29.8018,74.3001,139.2076,14.6379,0.7154,1818.06
1406_1.png,DCP (Dark Channel Prior),7.1497,79.0657,49.7097,51.4899,100.6079,20.293,0.9213,81.74
1406_1.png,CLAHE (LAB),7.5471,68.1267,30.4801,71.6916,139.4109,17.2709,0.7859,5.96
1406_1.png,"MSRCR (σ=[15,80,250])",7.0045,88.0765,40.9546,85.6012,137.6998,14.4834,0.6711,1560.34
1406_2.png,DCP (Dark Channel Prior),7.1474,78.8356,49.6425,51.2841,101.2531,20.4224,0.921,88.41
1406_2.png,CLAHE (LAB),7.5391,67.3919,29.2943,70.3205,141.3181,16.8654,0.7826,2.99
1406_2.png,"MSRCR (σ=[15,80,250])",7.0237,87.8557,40.8487,84.455,137.5241,14.4706,0.6725,1376.14
1406_4.png,DCP (Dark Channel Prior),7.1561,78.3415,49.5276,50.8577,102.6161,20.6518,0.919,93.69
1406_4.png,CLAHE (LAB),7.5225,65.8549,27.1211,67.5812,145.0911,16.0079,0.7746,3.45
1406_4.png,"MSRCR (σ=[15,80,250])",7.0501,87.463,40.4135,82.1887,137.2798,14.3868,0.6746,1362.0
1406_3.png,DCP (Dark Channel Prior),7.149,78.6015,49.5991,51.0973,101.9121,20.5377,0.9202,91.19
1406_3.png,CLAHE (LAB),7.53,66.6497,28.1757,68.996,143.1787,16.4524,0.7787,3.97
1406_3.png,"MSRCR (σ=[15,80,250])",7.0382,87.6502,40.6598,83.3209,137.3876,14.4371,0.6737,1576.19
1406_7.png,DCP (Dark Channel Prior),7.1677,77.5799,49.2163,50.0997,105.0106,20.9272,0.9132,116.61
1406_7.png,CLAHE (LAB),7.4982,63.7907,24.246,63.5482,150.9223,14.7407,0.7606,124.61
